id;nom_enc;prenoms_enc;email_enc
1;Sports;blue;Account Grocery
2;open-source Shoes;Zadkine Reverse-engineered Hat;Refined Afghanistan interface
3;Concrete virtual SDD;Canadian Rubber Superviseur;Bonaparte
4;vertical redundant;program Luxembourg tan;overriding multi-state
5;Shoes Computer Fundamental;pixel national FTP;Lesotho
6;RSS auxiliary c;Cedi utilisation Automated;logistical virtual
7;Account Producteur Directeur;Languedoc-Roussillon;b
8;Granite Awesome Small;Frozen Coordinateur;Home
9;extend driver;Face b Dollar;client-driven connect
10;deposit;Swaziland hack;User-friendly
