id;matricule_et;nom_et;prenom_et;photo;photo_content_type;numero_parent;numero_tuteur;contact_et
1;EXE Account;mindshare;exploit back-end paradigms;../fake-data/blob/hipster.png;image/png;Jewelery;Tasty;de Wooden red
2;algorithm;e-commerce synergistic;invoice a multi-byte;../fake-data/blob/hipster.png;image/png;matrix Fresh backing;protocol Account;b Brunei
3;Generic turquoise;Rustic transmitting b;Tools;../fake-data/blob/hipster.png;image/png;Bosnie-Herzégovine;navigating;Basse-Normandie hack
4;Sleek web-enabled;syndicate Reduced;Handmade circuit;../fake-data/blob/hipster.png;image/png;Fish Licensed;Dinar Administrateur USB;Bedfordshire Joubert
5;Synergized markets Kids;haptic Pants Market;Plastic generate generating;../fake-data/blob/hipster.png;image/png;digital cross-platform Zimbabwe;wireless functionalities;firewall
6;didactic viral;benchmark Borders Intelligent;a Agent fresh-thinking;../fake-data/blob/hipster.png;image/png;Card Tunisie;Colon;Outdoors
7;Car;driver cross-platform Agent;microchip Ball methodical;../fake-data/blob/hipster.png;image/png;Checking Sausages;Generic Oro Pataca;hack Midi-Pyrénées Rustic
8;Tuna maximized c;SDD;a c PNG;../fake-data/blob/hipster.png;image/png;system;Mali;solid
9;c;distributed;Fresh;../fake-data/blob/hipster.png;image/png;intelligence;Customizable Salad Victoire;Technicien productize
10;b coherent Rubber;Rhône-Alpes;CFA;../fake-data/blob/hipster.png;image/png;Fresh;mobile Rivoli Account;Soft task-force a
