id;nom_inspecteur;prenom_inspecteur;contact_inspecteur
1;Euro Bedfordshire hack;Iran Ingenieur;multi-byte enterprise
2;optical;web-enabled Metal;Picardie
3;Fresh Upgradable;Fundamental;cross-platform Handcrafted
4;Bac Sénégal;a;AI Industrial interfaces
5;Handcrafted;system encoding;partnerships orchid
6;a Malagasy XSS;c driver Île-de-France;Bedfordshire
7;c Account;web-readiness Technicien;Account Stagiaire primary
8;b;deposit;a Islands invoice
9;complexity;violet RSS;XSS
10;haptic Lombards Alsace;grey Litas Loan;Shoes
